stok_kodu,urun_adi,kategori,depo,donem,giris_miktar,cikis_miktar,donem_sonu_stok,birim_maliyet_tl,birim_satis_tl
U003,Havana Giyimlik Deri,Giyimlik,Ana Depo,2026-03,40,80,30,55,89
U004,Marbella Döşemelik Deri,Döşemelik,Yan Depo,2026-03,250,295,4165,9,16
U005,Barcelona Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-03,77,77,0,42,72
U006,Verona Döşemelik Deri,Döşemelik,Ana Depo,2026-03,260,310,817,31,52
U007,Cortina Çantalık Deri,Çantalık,Ana Depo,2026-03,20,31,14,166,210
U008,Ravenna Giyimlik Deri,Giyimlik,Ana Depo,2026-03,400,390,1480,26,44
U009,Sevilla Ayakkabılık Deri,Ayakkabılık,Yan Depo,2026-03,850,890,7380,14,22
U010,Napoli Çantalık Deri,Çantalık,Yan Depo,2026-03,700,680,5160,8,13
U011,Valencia Giyimlik Deri,Giyimlik,Ana Depo,2026-03,60,36,135,48,80
U012,Palermo Döşemelik Deri,Döşemelik,Ana Depo,2026-03,300,290,1010,19,32
U013,Firenze Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-03,110,130,220,60,98
U014,Bari Çantalık Deri,Çantalık,Yan Depo,2026-03,5,8,18,35,60
U015,Trieste Giyimlik Deri,Giyimlik,Ana Depo,2026-03,300,320,1790,44,75
U001,Milano Giyimlik Deri,Giyimlik,Ana Depo,2026-04,380,400,3320,28,45
U002,Toscana Giyimlik Deri,Giyimlik,Ana Depo,2026-04,600,560,860,22,38
U003,Havana Giyimlik Deri,Giyimlik,Ana Depo,2026-04,40,70,0,55,89
U004,Marbella Döşemelik Deri,Döşemelik,Yan Depo,2026-04,250,295,4120,10,16
U005,Barcelona Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-04,77,77,0,42,72
U006,Verona Döşemelik Deri,Döşemelik,Ana Depo,2026-04,260,356,721,31,52
U007,Cortina Çantalık Deri,Çantalık,Ana Depo,2026-04,20,26,8,161,210
U008,Ravenna Giyimlik Deri,Giyimlik,Ana Depo,2026-04,400,390,1490,26,44
U009,Sevilla Ayakkabılık Deri,Ayakkabılık,Yan Depo,2026-04,850,890,7340,14,22
U010,Napoli Çantalık Deri,Çantalık,Yan Depo,2026-04,,,,8,13
U011,Valencia Giyimlik Deri,Giyimlik,Ana Depo,2026-04,180,45,270,48,80
U012,Palermo Döşemelik Deri,Döşemelik,Ana Depo,2026-04,300,290,1020,19,32
U013,Firenze Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-04,110,130,200,60,98
U014,Bari Çantalık Deri,Çantalık,Yan Depo,2026-04,5,7,16,35,60
U015,Trieste Giyimlik Deri,Giyimlik,Ana Depo,2026-04,300,320,1770,44,75
U001,Milano Giyimlik Deri,Giyimlik,Ana Depo,2026-05,380,400,3300,28,45
U002,Toscana Giyimlik Deri,Giyimlik,Ana Depo,2026-05,600,560,900,22,38
U003,Havana Giyimlik Deri,Giyimlik,Ana Depo,2026-05,40,40,0,55,89
U004,Marbella Döşemelik Deri,Döşemelik,Yan Depo,2026-05,250,295,4075,10,16
U005,Barcelona Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-05,77,77,0,42,72
U006,Verona Döşemelik Deri,Döşemelik,Ana Depo,2026-05,260,322,659,31,52
U007,Cortina Çantalık Deri,Çantalık,Ana Depo,2026-05,20,24,4,154,210
U008,Ravenna Giyimlik Deri,Giyimlik,Ana Depo,2026-05,400,390,1500,26,44
U009,Sevilla Ayakkabılık Deri,Ayakkabılık,Yan Depo,2026-05,850,890,7300,14,22
U010,Napoli Çantalık Deri,Çantalık,Yan Depo,2026-05,700,680,5180,8,13
U011,Valencia Giyimlik Deri,Giyimlik,Ana Depo,2026-05,60,117,213,48,80
U012,Palermo Döşemelik Deri,Döşemelik,Ana Depo,2026-05,300,290,1030,19,32
U013,Firenze Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-05,110,130,180,60,98
U014,Bari Çantalık Deri,Çantalık,Yan Depo,2026-05,5,6,15,35,60
U015,Trieste Giyimlik Deri,Giyimlik,Ana Depo,2026-05,300,320,1750,44,75
U001,Milano Giyimlik Deri,Giyimlik,Ana Depo,2026-06,380,400,3280,28,45
U002,Toscana Giyimlik Deri,Giyimlik,Ana Depo,2026-06,600,560,940,22,38
U003,Havana Giyimlik Deri,Giyimlik,Ana Depo,2026-06,40,40,0,55,89
U004,Marbella Döşemelik Deri,Döşemelik,Yan Depo,2026-06,250,295,4030,9,16
U005,Barcelona Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-06,77,77,0,42,72
U006,Verona Döşemelik Deri,Döşemelik,Ana Depo,2026-06,260,241,678,31,52
U007,Cortina Çantalık Deri,Çantalık,Ana Depo,2026-06,20,22,2,146,210
U008,Ravenna Giyimlik Deri,Giyimlik,Ana Depo,2026-06,400,390,1510,26,44
U009,Sevilla Ayakkabılık Deri,Ayakkabılık,Yan Depo,2026-06,850,890,7260,14,22
U010,Napoli Çantalık Deri,Çantalık,Yan Depo,2026-06,700,680,5200,8,13
U011,Valencia Giyimlik Deri,Giyimlik,Ana Depo,2026-06,60,81,192,48,80
U012,Palermo Döşemelik Deri,Döşemelik,Ana Depo,2026-06,300,290,1040,19,32
U013,Firenze Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-06,110,130,160,60,98
U014,Bari Çantalık Deri,Çantalık,Yan Depo,2026-06,5,6,14,35,60
U015,Trieste Giyimlik Deri,Giyimlik,Ana Depo,2026-06,300,320,1730,44,75
